iter	Passed	Remaining
401	19083	4652
402	19164	4612
403	19208	4564
404	19243	4513
405	19277	4463
406	19309	4412
407	19357	4364
408	19405	4317
409	19447	4269
410	19471	4216
411	19503	4165
412	19542	4116
413	19594	4070
414	19648	4024
415	19689	3975
416	19730	3927
417	19794	3883
418	19858	3838
419	19932	3796
420	20076	3767
421	20219	3737
422	20302	3695
423	20366	3650
424	20412	3602
425	20466	3555
426	20531	3510
427	20654	3474
428	20778	3438
429	20899	3402
430	21029	3366
431	21282	3350
432	21391	3309
433	21765	3310
434	21830	3262
435	21884	3212
436	21939	3162
437	21999	3114
438	22054	3064
439	22125	3017
440	22229	2974
441	22382	2937
442	22461	2890
443	22606	2851
444	22888	2828
445	22963	2780
446	23053	2733
447	23121	2683
448	23184	2633
449	23259	2584
450	23314	2533
451	23448	2490
452	23542	2442
453	23608	2392
454	23679	2341
455	23711	2287
456	23743	2234
457	23791	2181
458	23827	2128
459	23858	2074
460	23907	2022
461	23955	1970
462	24200	1933
463	24256	1881
464	24379	1834
465	24949	1820
466	25032	1768
467	25092	1715
468	25179	1664
469	25216	1609
470	25289	1557
471	25332	1502
472	25397	1449
473	25461	1396
474	25577	1346
475	25892	1305
476	25975	1252
477	26205	1206
478	26580	1165
479	27020	1125
480	27149	1072
481	27227	1016
482	27384	963
483	27435	906
484	27513	850
485	27579	794
486	27626	737
487	27690	680
488	27725	623
489	27758	566
490	27957	512
491	28340	460
492	28445	403
493	28545	346
494	28623	289
495	28750	231
496	28938	174
497	29037	116
498	29185	58
499	29241	0
