iter	Accuracy	Logloss
82	0.8497191011	0.3731666078
83	0.8511235955	0.3729164975
84	0.8539325843	0.3724840969
85	0.8553370787	0.3713232094
86	0.8581460674	0.3692249543
87	0.8581460674	0.3691527226
88	0.8595505618	0.3687417143
89	0.8595505618	0.3683072394
90	0.8651685393	0.365439807
91	0.8637640449	0.3649527796
92	0.8637640449	0.3643637873
93	0.8665730337	0.3614091157
94	0.8679775281	0.3601939313
95	0.8679775281	0.3592718673
96	0.8679775281	0.3583422357
97	0.8665730337	0.3577619285
98	0.8665730337	0.3572104547
99	0.8665730337	0.3567982349
100	0.8665730337	0.35476783
101	0.8679775281	0.3537189867
102	0.8679775281	0.3531498585
103	0.8693820225	0.3526917804
104	0.8679775281	0.3515071513
105	0.8679775281	0.350867071
106	0.8665730337	0.3480375966
107	0.8665730337	0.3477522881
108	0.8665730337	0.3475118517
109	0.8665730337	0.3469992151
110	0.8707865169	0.3454834383
111	0.8693820225	0.344122257
112	0.8693820225	0.3434197799
113	0.8693820225	0.3426727634
114	0.8693820225	0.3425329122
115	0.8735955056	0.3401679326
116	0.8764044944	0.3392599897
117	0.8778089888	0.3363662951
118	0.8764044944	0.3351217969
119	0.8778089888	0.3346520925
120	0.8778089888	0.3340246703
121	0.8778089888	0.3339006738
122	0.8806179775	0.3329594016
123	0.8792134831	0.3326469583
124	0.8792134831	0.332187269
125	0.8792134831	0.3321346807
126	0.8820224719	0.3310120047
127	0.8792134831	0.3305421571
128	0.8820224719	0.3292411876
129	0.8806179775	0.3283598451
130	0.8792134831	0.32794895
131	0.8792134831	0.3268797795
132	0.8792134831	0.3260594751
133	0.8792134831	0.3258251421
134	0.8792134831	0.3254891603
135	0.8806179775	0.3248686189
136	0.8806179775	0.3229441288
137	0.8806179775	0.3218874297
138	0.8820224719	0.3216183466
139	0.8834269663	0.3204508392
140	0.8820224719	0.3202992717
141	0.8834269663	0.3195918374
142	0.8806179775	0.3172983758
143	0.8820224719	0.3170849833
144	0.8848314607	0.3155945147
145	0.8862359551	0.3153233191
146	0.8834269663	0.3135390163
147	0.8806179775	0.3114187494
148	0.8806179775	0.3114129143
149	0.8806179775	0.3110939539
150	0.8806179775	0.3108930288
151	0.8848314607	0.3099346886
152	0.8848314607	0.3095090607
153	0.8862359551	0.3089121843
154	0.8876404494	0.3066994331
155	0.8890449438	0.3066178002
156	0.8890449438	0.3058672288
157	0.8904494382	0.3054606286
158	0.8876404494	0.3053700636
159	0.8890449438	0.3049178281
160	0.8904494382	0.3043766151
161	0.8890449438	0.3040521113
162	0.8890449438	0.3031017342
163	0.8904494382	0.3021370242
164	0.8918539326	0.3020912244
165	0.8918539326	0.3016434033
166	0.8918539326	0.3015940782
167	0.8904494382	0.3008966909
168	0.8904494382	0.3008867593
169	0.8918539326	0.2994283087
170	0.893258427	0.2985343213
171	0.893258427	0.2982875749
172	0.8946629213	0.2980252645
173	0.8946629213	0.2977925163
174	0.8974719101	0.2965343235
175	0.8974719101	0.2961031846
176	0.8974719101	0.2957400141
177	0.8974719101	0.2955342019
178	0.8960674157	0.2950148375
179	0.8974719101	0.2942729444
180	0.8974719101	0.2942318367
181	0.8988764045	0.2940017501
182	0.8988764045	0.2939396372
183	0.9002808989	0.2936214811
184	0.8988764045	0.2925617106
185	0.9016853933	0.2916394065
186	0.9002808989	0.2902815492
187	0.9002808989	0.2901656188
188	0.9002808989	0.2900739916
189	0.9002808989	0.2889608693
190	0.9002808989	0.2887126389
191	0.9002808989	0.2886593235
192	0.9002808989	0.288220817
193	0.9002808989	0.28789453
194	0.8988764045	0.2876358197
195	0.8988764045	0.2874085872
196	0.9002808989	0.2868804173
197	0.8988764045	0.2862659145
198	0.8988764045	0.2855994413
199	0.9002808989	0.2848406856
200	0.9002808989	0.2847592659
201	0.9002808989	0.2845580298
202	0.9030898876	0.2844358108
203	0.904494382	0.2832967757
204	0.9030898876	0.2831536993
205	0.9030898876	0.2829374133
206	0.904494382	0.2822754337
207	0.9030898876	0.2819950385
208	0.9016853933	0.2819416687
209	0.904494382	0.2818153169
210	0.904494382	0.2813694661
211	0.904494382	0.2812957002
212	0.9016853933	0.2809406988
213	0.904494382	0.2803057966
214	0.904494382	0.28016287
215	0.904494382	0.2801114419
216	0.904494382	0.2798934464
217	0.904494382	0.2798500356
218	0.904494382	0.2793508977
219	0.904494382	0.2785706584
220	0.904494382	0.2784633683
221	0.904494382	0.2782094037
222	0.904494382	0.2781989992
223	0.9058988764	0.2763714528
224	0.9058988764	0.2752041565
225	0.9058988764	0.2748787241
226	0.9058988764	0.2746005074
227	0.9058988764	0.2740864309
228	0.9073033708	0.2719742526
229	0.9073033708	0.2715594082
230	0.9115168539	0.2704734982
231	0.9087078652	0.2700628917
232	0.9115168539	0.2693504614
233	0.9115168539	0.2691337867
234	0.9115168539	0.2683952002
235	0.9129213483	0.2677692581
236	0.9129213483	0.2672640702
237	0.9115168539	0.265557408
238	0.9129213483	0.264405624
239	0.9129213483	0.2642548442
240	0.9129213483	0.2638941501
241	0.9129213483	0.2618636424
242	0.9143258427	0.2612738348
243	0.9143258427	0.2601996198
244	0.9157303371	0.2589561025
245	0.9157303371	0.2587267894
246	0.9157303371	0.2587128345
247	0.9157303371	0.2587047054
248	0.9157303371	0.2583542486
249	0.9157303371	0.2581801461
250	0.9157303371	0.2579448166
251	0.9157303371	0.2569270484
252	0.9157303371	0.2566270044
253	0.9157303371	0.2559424455
254	0.9157303371	0.2557590162
255	0.9157303371	0.2554907463
256	0.9157303371	0.2548995149
257	0.9171348315	0.254454189
258	0.9171348315	0.2543558627
259	0.9171348315	0.2530498267
260	0.9171348315	0.2526398543
261	0.9171348315	0.2515494786
262	0.9171348315	0.2514386682
263	0.9171348315	0.2511553594
264	0.9171348315	0.2506097379
265	0.9171348315	0.2506049961
266	0.9185393258	0.2501909155
267	0.9185393258	0.2501192459
268	0.9185393258	0.2501071668
269	0.9185393258	0.250053914
270	0.9185393258	0.2499553235
271	0.9185393258	0.2498804607
272	0.9185393258	0.2498435206
273	0.9185393258	0.2495967536
274	0.9185393258	0.2490548377
275	0.9185393258	0.2480678629
276	0.9185393258	0.2476763423
277	0.9199438202	0.2471501032
278	0.9213483146	0.2463395968
279	0.9199438202	0.2457750735
280	0.9199438202	0.2457029043
281	0.9199438202	0.2447357291
282	0.9199438202	0.2443148172
283	0.9199438202	0.24302
284	0.9199438202	0.2425121548
285	0.9199438202	0.2425049206
286	0.9213483146	0.2419541108
287	0.9213483146	0.2417447212
288	0.9213483146	0.2414544689
289	0.9199438202	0.2412955274
290	0.9199438202	0.2411745875
291	0.9213483146	0.2408389463
292	0.9199438202	0.2403376313
293	0.9199438202	0.2401853578
294	0.9199438202	0.2395139845
295	0.9213483146	0.2391547662
296	0.9213483146	0.2390545995
297	0.9213483146	0.2390297571
298	0.9213483146	0.2386046045
299	0.9213483146	0.2384990445
300	0.9213483146	0.2381674977
301	0.9213483146	0.2380242671
302	0.9199438202	0.2375296911
303	0.9199438202	0.2368307478
304	0.9199438202	0.2367309982
305	0.9199438202	0.2365118354
306	0.9199438202	0.236380113
307	0.922752809	0.2356753539
308	0.922752809	0.234681844
309	0.922752809	0.2346072259
310	0.922752809	0.2344828433
311	0.9241573034	0.2341130225
312	0.922752809	0.2334288505
313	0.9241573034	0.2332554994
314	0.9241573034	0.232831509
315	0.9241573034	0.232667972
316	0.9241573034	0.2326131291
317	0.9241573034	0.2325384872
318	0.9241573034	0.2324403193
319	0.9241573034	0.2322783181
320	0.9241573034	0.2322175617
321	0.9241573034	0.2320386019
322	0.9241573034	0.2315134315
323	0.9241573034	0.2315074539
324	0.9241573034	0.2314585307
325	0.9241573034	0.2314454176
326	0.9241573034	0.2313212414
327	0.9241573034	0.2306424579
328	0.9241573034	0.2305609414
329	0.9241573034	0.230243061
330	0.9241573034	0.2300966198
331	0.9241573034	0.2300590178
332	0.9241573034	0.2300138198
333	0.9241573034	0.2299890304
334	0.9241573034	0.2299425636
335	0.9241573034	0.2297885726
336	0.9241573034	0.2296837158
337	0.9241573034	0.2294309749
338	0.9241573034	0.229412551
339	0.9255617978	0.2277613721
340	0.9255617978	0.227714346
341	0.9255617978	0.2276728376
342	0.9255617978	0.2275901668
343	0.9269662921	0.2266009647
344	0.9269662921	0.2265644172
345	0.9269662921	0.226515641
346	0.9269662921	0.226210702
347	0.9255617978	0.2261769372
348	0.9255617978	0.2261528555
349	0.9255617978	0.2258461937
350	0.9255617978	0.2256082686
351	0.9269662921	0.2255056003
352	0.9269662921	0.2254978985
353	0.9269662921	0.2253742205
354	0.9269662921	0.2252958036
355	0.9269662921	0.2252855108
356	0.9269662921	0.2251029657
357	0.9269662921	0.2249015351
358	0.9283707865	0.224042531
359	0.9269662921	0.2240189153
360	0.9283707865	0.2237689827
361	0.9283707865	0.2233619896
362	0.9297752809	0.2232798811
363	0.9297752809	0.2230312296
364	0.9297752809	0.2227775469
365	0.9297752809	0.2216116915
366	0.9297752809	0.2207079351
367	0.9311797753	0.220555974
368	0.9325842697	0.220469121
369	0.9325842697	0.2203850127
370	0.9325842697	0.2203845746
371	0.9325842697	0.2193042715
372	0.933988764	0.2186945046
373	0.933988764	0.2185160405
374	0.933988764	0.2180464476
375	0.933988764	0.2179037437
376	0.9325842697	0.217180302
377	0.9325842697	0.2170937746
378	0.933988764	0.2163553807
379	0.933988764	0.2162582241
380	0.933988764	0.2160592136
381	0.933988764	0.2160370133
382	0.933988764	0.2160278942
383	0.933988764	0.2159969813
384	0.933988764	0.2159610796
385	0.933988764	0.2157171984
386	0.933988764	0.2156900182
387	0.933988764	0.2155744011
388	0.933988764	0.2154921539
389	0.933988764	0.2153241282
390	0.933988764	0.2150784566
391	0.933988764	0.2150435565
392	0.933988764	0.2147515967
393	0.933988764	0.2146911919
394	0.933988764	0.2144686024
395	0.933988764	0.2141460374
396	0.9325842697	0.2138590434
397	0.9325842697	0.2135122067
398	0.9325842697	0.2134080514
399	0.9325842697	0.2133097853
400	0.9325842697	0.2132043427
401	0.933988764	0.2131415986
402	0.933988764	0.2130242509
403	0.9325842697	0.212834553
404	0.933988764	0.2127798567
405	0.933988764	0.2126662896
406	0.933988764	0.2125041031
407	0.933988764	0.2116396323
408	0.933988764	0.211290199
409	0.933988764	0.2109704604
410	0.933988764	0.210890622
411	0.933988764	0.2102494594
412	0.9353932584	0.2100157923
413	0.933988764	0.2097745345
414	0.933988764	0.2094629601
415	0.933988764	0.2093204573
416	0.933988764	0.2092833852
417	0.9325842697	0.2089106559
418	0.9325842697	0.2087210132
419	0.9325842697	0.2085655339
420	0.9325842697	0.208289991
421	0.9325842697	0.2082669948
422	0.933988764	0.2077164316
423	0.933988764	0.2076822321
424	0.933988764	0.2076448885
425	0.933988764	0.2076294219
426	0.933988764	0.2074317997
427	0.933988764	0.2072010399
428	0.933988764	0.2070216961
429	0.9353932584	0.2068159905
430	0.9353932584	0.2067365815
431	0.9353932584	0.206106206
432	0.9367977528	0.2059202324
433	0.9367977528	0.2055299072
434	0.9353932584	0.205380268
435	0.9367977528	0.2051364114
436	0.9367977528	0.2051144705
437	0.9367977528	0.2050742291
438	0.9367977528	0.2050570669
439	0.9367977528	0.204608007
440	0.9367977528	0.2045410285
441	0.9367977528	0.2045160497
442	0.9367977528	0.2044383704
443	0.9367977528	0.2044333217
444	0.9367977528	0.2043120174
445	0.9367977528	0.2043046881
446	0.9367977528	0.2041968027
447	0.9367977528	0.203897726
448	0.9382022472	0.2037531336
449	0.9382022472	0.2033136135
450	0.9382022472	0.203194191
451	0.9382022472	0.2030893155
452	0.9382022472	0.2028767957
453	0.9382022472	0.2027637101
454	0.9382022472	0.2024976146
455	0.9382022472	0.202210447
456	0.9382022472	0.2022010847
457	0.9382022472	0.2018077969
458	0.9382022472	0.2016477527
459	0.9382022472	0.2016129724
460	0.9382022472	0.2015607147
461	0.9382022472	0.2014637383
462	0.9382022472	0.2014061718
463	0.9382022472	0.2013859763
464	0.9382022472	0.2013308085
465	0.941011236	0.2007310977
466	0.941011236	0.2007279268
467	0.941011236	0.200712614
468	0.941011236	0.2006284767
469	0.941011236	0.2005866275
470	0.941011236	0.2003287311
471	0.9382022472	0.2001748607
472	0.9382022472	0.2001497726
473	0.9382022472	0.1999478741
474	0.9396067416	0.1998964689
475	0.941011236	0.1982619303
476	0.941011236	0.1982218678
477	0.941011236	0.1979246222
478	0.941011236	0.1977213699
479	0.941011236	0.1974197589
480	0.941011236	0.1973201635
481	0.941011236	0.1970746965
482	0.941011236	0.1969177713
483	0.9396067416	0.1960480014
484	0.9396067416	0.1951756051
485	0.9396067416	0.195075259
486	0.9396067416	0.1950519575
487	0.9396067416	0.1949123902
488	0.9396067416	0.1947310155
489	0.941011236	0.1942623975
490	0.941011236	0.1939437613
491	0.941011236	0.193792415
492	0.941011236	0.1935899697
493	0.941011236	0.193549433
494	0.941011236	0.1935345194
495	0.941011236	0.1933954297
496	0.941011236	0.1933697804
497	0.941011236	0.1932746648
498	0.941011236	0.1931169859
499	0.941011236	0.1927803273
